system;group;name;name;type;description;nullable;precision
system1;group1;name1;name5;type5;description5;1;precision5
system1;group1;name1;name6;type6;description6;0;precision6
system1;group1;name1;name7;type7;description7;1;precision7
system1;group1;name1;name8;type8;description8;0;precision8
system1;group1;name1;name9;type9;description9;1;precision9
system1;group1;name1;name10;type10;description10;0;precision10
system1;group1;name1;name11;type11;description11;1;precision11
system1;group1;name1;name12;type12;description12;0;precision12
system1;group1;name1;name13;type13;description13;1;precision13
system1;group1;name1;name14;type14;description14;0;precision14
system1;group1;name1;name15;type15;description15;1;precision15
system1;group1;name1;name16;type16;description16;0;precision16
system1;group1;name1;name17;type17;description17;1;precision17
system1;group1;name1;name18;type18;description18;0;precision18
system1;group1;name1;name19;type19;description19;1;precision19
system1;group1;name1;name20;type20;description20;0;precision20
system1;group1;name1;name21;type21;description21;1;precision21
system1;group1;name1;name22;type22;description22;0;precision22
system1;group1;name1;name23;type23;description23;1;precision23
system1;group1;name1;name24;type24;description24;0;precision24
system1;group1;name1;name25;type25;description25;1;precision25
system1;group1;name1;name26;type26;description26;0;precision26
system1;group1;name1;name27;type27;description27;1;precision27
system1;group1;name1;name28;type28;description28;0;precision28
system1;group1;name1;name29;type29;description29;1;precision29
system1;group1;name1;name30;type30;description30;0;precision30
system1;group1;name1;name31;type31;description31;1;precision31
system1;group1;name1;name32;type32;description32;0;precision32
system1;group1;name1;name33;type33;description33;1;precision33
system1;group1;name1;name34;type34;description34;0;precision34
system1;group1;name1;name35;type35;description35;1;precision35
system1;group1;name1;name36;type36;description36;0;precision36
system1;group1;name1;name37;type37;description37;1;precision37
system1;group1;name1;name38;type38;description38;0;precision38
system1;group1;name1;name39;type39;description39;1;precision39
system1;group1;name1;name40;type40;description40;0;precision40
system1;group1;name1;name41;type41;description41;1;precision41
system1;group1;name1;name42;type42;description42;0;precision42
system1;group1;name1;name43;type43;description43;1;precision43
system1;group1;name1;name44;type44;description44;0;precision44
system1;group1;name1;name45;type45;description45;1;precision45
system1;group1;name1;name46;type46;description46;0;precision46
system1;group1;name1;name47;type47;description47;1;precision47
system1;group1;name1;name48;type48;description48;0;precision48
system1;group1;name1;name49;type49;description49;1;precision49
system2;group2;name2;name0;type0;description0;0;precision0
system2;group2;name2;name1;type1;description1;1;precision1
system2;group2;name2;name2;type2;description2;0;precision2
system2;group2;name2;name3;type3;description3;1;precision3
system2;group2;name2;name4;type4;description4;0;precision4
system2;group2;name2;name5;type5;description5;1;precision5
system2;group2;name2;name6;type6;description6;0;precision6
system2;group2;name2;name7;type7;description7;1;precision7
system2;group2;name2;name8;type8;description8;0;precision8
system2;group2;name2;name9;type9;description9;1;precision9
system2;group2;name2;name10;type10;description10;0;precision10
system2;group2;name2;name11;type11;description11;1;precision11
system2;group2;name2;name12;type12;description12;0;precision12
system2;group2;name2;name13;type13;description13;1;precision13
system2;group2;name2;name14;type14;description14;0;precision14
system2;group2;name2;name15;type15;description15;1;precision15
system2;group2;name2;name16;type16;description16;0;precision16
system2;group2;name2;name17;type17;description17;1;precision17
system2;group2;name2;name18;type18;description18;0;precision18
system2;group2;name2;name19;type19;description19;1;precision19
system2;group2;name2;name20;type20;description20;0;precision20
system2;group2;name2;name21;type21;description21;1;precision21
system2;group2;name2;name22;type22;description22;0;precision22
system2;group2;name2;name23;type23;description23;1;precision23
system2;group2;name2;name24;type24;description24;0;precision24
system2;group2;name2;name25;type25;description25;1;precision25
system2;group2;name2;name26;type26;description26;0;precision26
system2;group2;name2;name27;type27;description27;1;precision27
system2;group2;name2;name28;type28;description28;0;precision28
system2;group2;name2;name29;type29;description29;1;precision29
system2;group2;name2;name30;type30;description30;0;precision30
system2;group2;name2;name31;type31;description31;1;precision31
system2;group2;name2;name32;type32;description32;0;precision32
system2;group2;name2;name33;type33;description33;1;precision33
system2;group2;name2;name34;type34;description34;0;precision34
system2;group2;name2;name35;type35;description35;1;precision35
system2;group2;name2;name36;type36;description36;0;precision36
system2;group2;name2;name37;type37;description37;1;precision37
system2;group2;name2;name38;type38;description38;0;precision38
system2;group2;name2;name39;type39;description39;1;precision39
system2;group2;name2;name40;type40;description40;0;precision40
system2;group2;name2;name41;type41;description41;1;precision41
system2;group2;name2;name42;type42;description42;0;precision42
system2;group2;name2;name43;type43;description43;1;precision43
system2;group2;name2;name44;type44;description44;0;precision44
system2;group2;name2;name45;type45;description45;1;precision45
system2;group2;name2;name46;type46;description46;0;precision46
system2;group2;name2;name47;type47;description47;1;precision47
system2;group2;name2;name48;type48;description48;0;precision48
system2;group2;name2;name49;type49;description49;1;precision49
system3;group3;name3;name0;type0;description0;0;precision0
system3;group3;name3;name1;type1;description1;1;precision1
system3;group3;name3;name2;type2;description2;0;precision2
system3;group3;name3;name3;type3;description3;1;precision3
system3;group3;name3;name4;type4;description4;0;precision4
system3;group3;name3;name5;type5;description5;1;precision5
system3;group3;name3;name6;type6;description6;0;precision6
system3;group3;name3;name7;type7;description7;1;precision7
system3;group3;name3;name8;type8;description8;0;precision8
system3;group3;name3;name9;type9;description9;1;precision9
system3;group3;name3;name10;type10;description10;0;precision10
system3;group3;name3;name11;type11;description11;1;precision11
system3;group3;name3;name12;type12;description12;0;precision12
system3;group3;name3;name13;type13;description13;1;precision13
system3;group3;name3;name14;type14;description14;0;precision14
system3;group3;name3;name15;type15;description15;1;precision15
system3;group3;name3;name16;type16;description16;0;precision16
system3;group3;name3;name17;type17;description17;1;precision17
system3;group3;name3;name18;type18;description18;0;precision18
system3;group3;name3;name19;type19;description19;1;precision19
system3;group3;name3;name20;type20;description20;0;precision20
system3;group3;name3;name21;type21;description21;1;precision21
system3;group3;name3;name22;type22;description22;0;precision22
system3;group3;name3;name23;type23;description23;1;precision23
system3;group3;name3;name24;type24;description24;0;precision24
system3;group3;name3;name25;type25;description25;1;precision25
system3;group3;name3;name26;type26;description26;0;precision26
system3;group3;name3;name27;type27;description27;1;precision27
system3;group3;name3;name28;type28;description28;0;precision28
system3;group3;name3;name29;type29;description29;1;precision29
system3;group3;name3;name30;type30;description30;0;precision30
system3;group3;name3;name31;type31;description31;1;precision31
system3;group3;name3;name32;type32;description32;0;precision32
system3;group3;name3;name33;type33;description33;1;precision33
system3;group3;name3;name34;type34;description34;0;precision34
system3;group3;name3;name35;type35;description35;1;precision35
system3;group3;name3;name36;type36;description36;0;precision36
system3;group3;name3;name37;type37;description37;1;precision37
system3;group3;name3;name38;type38;description38;0;precision38
system3;group3;name3;name39;type39;description39;1;precision39
system3;group3;name3;name40;type40;description40;0;precision40
system3;group3;name3;name41;type41;description41;1;precision41
system3;group3;name3;name42;type42;description42;0;precision42
system3;group3;name3;name43;type43;description43;1;precision43
system3;group3;name3;name44;type44;description44;0;precision44
system3;group3;name3;name45;type45;description45;1;precision45
system3;group3;name3;name46;type46;description46;0;precision46
system3;group3;name3;name47;type47;description47;1;precision47
system3;group3;name3;name48;type48;description48;0;precision48
system3;group3;name3;name49;type49;description49;1;precision49
system4;group4;name4;name0;type0;description0;0;precision0
system4;group4;name4;name1;type1;description1;1;precision1
system4;group4;name4;name2;type2;description2;0;precision2
system4;group4;name4;name3;type3;description3;1;precision3
system4;group4;name4;name4;type4;description4;0;precision4
system4;group4;name4;name5;type5;description5;1;precision5
system4;group4;name4;name6;type6;description6;0;precision6
system4;group4;name4;name7;type7;description7;1;precision7
system4;group4;name4;name8;type8;description8;0;precision8
system4;group4;name4;name9;type9;description9;1;precision9
system4;group4;name4;name10;type10;description10;0;precision10
system4;group4;name4;name11;type11;description11;1;precision11
system4;group4;name4;name12;type12;description12;0;precision12
system4;group4;name4;name13;type13;description13;1;precision13
system4;group4;name4;name14;type14;description14;0;precision14
system4;group4;name4;name15;type15;description15;1;precision15
system4;group4;name4;name16;type16;description16;0;precision16
system4;group4;name4;name17;type17;description17;1;precision17
system4;group4;name4;name18;type18;description18;0;precision18
system4;group4;name4;name19;type19;description19;1;precision19
system4;group4;name4;name20;type20;description20;0;precision20
system4;group4;name4;name21;type21;description21;1;precision21
system4;group4;name4;name22;type22;description22;0;precision22
system4;group4;name4;name23;type23;description23;1;precision23
system4;group4;name4;name24;type24;description24;0;precision24
system4;group4;name4;name25;type25;description25;1;precision25
system4;group4;name4;name26;type26;description26;0;precision26
system4;group4;name4;name27;type27;description27;1;precision27
system4;group4;name4;name28;type28;description28;0;precision28
system4;group4;name4;name29;type29;description29;1;precision29
system4;group4;name4;name30;type30;description30;0;precision30
system4;group4;name4;name31;type31;description31;1;precision31
system4;group4;name4;name32;type32;description32;0;precision32
system4;group4;name4;name33;type33;description33;1;precision33
system4;group4;name4;name34;type34;description34;0;precision34
system4;group4;name4;name35;type35;description35;1;precision35
system4;group4;name4;name36;type36;description36;0;precision36
system4;group4;name4;name37;type37;description37;1;precision37
system4;group4;name4;name38;type38;description38;0;precision38
system4;group4;name4;name39;type39;description39;1;precision39
system4;group4;name4;name40;type40;description40;0;precision40
system4;group4;name4;name41;type41;description41;1;precision41
system4;group4;name4;name42;type42;description42;0;precision42
system4;group4;name4;name43;type43;description43;1;precision43
system4;group4;name4;name44;type44;description44;0;precision44
system4;group4;name4;name45;type45;description45;1;precision45
system4;group4;name4;name46;type46;description46;0;precision46
system4;group4;name4;name47;type47;description47;1;precision47
system4;group4;name4;name48;type48;description48;0;precision48
system4;group4;name4;name49;type49;description49;1;precision49
system5;group5;name5;name0;type0;description0;0;precision0
system5;group5;name5;name1;type1;description1;1;precision1
system5;group5;name5;name2;type2;description2;0;precision2
system5;group5;name5;name3;type3;description3;1;precision3
system5;group5;name5;name4;type4;description4;0;precision4
system5;group5;name5;name5;type5;description5;1;precision5
system5;group5;name5;name6;type6;description6;0;precision6
system5;group5;name5;name7;type7;description7;1;precision7
system5;group5;name5;name8;type8;description8;0;precision8
system5;group5;name5;name9;type9;description9;1;precision9
system5;group5;name5;name10;type10;description10;0;precision10
system5;group5;name5;name11;type11;description11;1;precision11
system5;group5;name5;name12;type12;description12;0;precision12
system5;group5;name5;name13;type13;description13;1;precision13
system5;group5;name5;name14;type14;description14;0;precision14
system5;group5;name5;name15;type15;description15;1;precision15
system5;group5;name5;name16;type16;description16;0;precision16
system5;group5;name5;name17;type17;description17;1;precision17
system5;group5;name5;name18;type18;description18;0;precision18
system5;group5;name5;name19;type19;description19;1;precision19
system5;group5;name5;name20;type20;description20;0;precision20
system5;group5;name5;name21;type21;description21;1;precision21
system5;group5;name5;name22;type22;description22;0;precision22
system5;group5;name5;name23;type23;description23;1;precision23
system5;group5;name5;name24;type24;description24;0;precision24
system5;group5;name5;name25;type25;description25;1;precision25
system5;group5;name5;name26;type26;description26;0;precision26
system5;group5;name5;name27;type27;description27;1;precision27
system5;group5;name5;name28;type28;description28;0;precision28
system5;group5;name5;name29;type29;description29;1;precision29
system5;group5;name5;name30;type30;description30;0;precision30
system5;group5;name5;name31;type31;description31;1;precision31
system5;group5;name5;name32;type32;description32;0;precision32
system5;group5;name5;name33;type33;description33;1;precision33
system5;group5;name5;name34;type34;description34;0;precision34
system5;group5;name5;name35;type35;description35;1;precision35
system5;group5;name5;name36;type36;description36;0;precision36
system5;group5;name5;name37;type37;description37;1;precision37
system5;group5;name5;name38;type38;description38;0;precision38
system5;group5;name5;name39;type39;description39;1;precision39
system5;group5;name5;name40;type40;description40;0;precision40
system5;group5;name5;name41;type41;description41;1;precision41
system5;group5;name5;name42;type42;description42;0;precision42
system5;group5;name5;name43;type43;description43;1;precision43
system5;group5;name5;name44;type44;description44;0;precision44
system5;group5;name5;name45;type45;description45;1;precision45
system5;group5;name5;name46;type46;description46;0;precision46
system5;group5;name5;name47;type47;description47;1;precision47
system5;group5;name5;name48;type48;description48;0;precision48
system5;group5;name5;name49;type49;description49;1;precision49
system6;group6;name6;name0;type0;description0;0;precision0
system6;group6;name6;name1;type1;description1;1;precision1
system6;group6;name6;name2;type2;description2;0;precision2
system6;group6;name6;name3;type3;description3;1;precision3
system6;group6;name6;name4;type4;description4;0;precision4
system6;group6;name6;name5;type5;description5;1;precision5
system6;group6;name6;name6;type6;description6;0;precision6
system6;group6;name6;name7;type7;description7;1;precision7
system6;group6;name6;name8;type8;description8;0;precision8
system6;group6;name6;name9;type9;description9;1;precision9
system6;group6;name6;name10;type10;description10;0;precision10
system6;group6;name6;name11;type11;description11;1;precision11
system6;group6;name6;name12;type12;description12;0;precision12
system6;group6;name6;name13;type13;description13;1;precision13
system6;group6;name6;name14;type14;description14;0;precision14
system6;group6;name6;name15;type15;description15;1;precision15
system6;group6;name6;name16;type16;description16;0;precision16
system6;group6;name6;name17;type17;description17;1;precision17
system6;group6;name6;name18;type18;description18;0;precision18
system6;group6;name6;name19;type19;description19;1;precision19
system6;group6;name6;name20;type20;description20;0;precision20
system6;group6;name6;name21;type21;description21;1;precision21
system6;group6;name6;name22;type22;description22;0;precision22
system6;group6;name6;name23;type23;description23;1;precision23
system6;group6;name6;name24;type24;description24;0;precision24
system6;group6;name6;name25;type25;description25;1;precision25
system6;group6;name6;name26;type26;description26;0;precision26
system6;group6;name6;name27;type27;description27;1;precision27
system6;group6;name6;name28;type28;description28;0;precision28
system6;group6;name6;name29;type29;description29;1;precision29
system6;group6;name6;name30;type30;description30;0;precision30
system6;group6;name6;name31;type31;description31;1;precision31
system6;group6;name6;name32;type32;description32;0;precision32
system6;group6;name6;name33;type33;description33;1;precision33
system6;group6;name6;name34;type34;description34;0;precision34
system6;group6;name6;name35;type35;description35;1;precision35
system6;group6;name6;name36;type36;description36;0;precision36
system6;group6;name6;name37;type37;description37;1;precision37
system6;group6;name6;name38;type38;description38;0;precision38
system6;group6;name6;name39;type39;description39;1;precision39
system6;group6;name6;name40;type40;description40;0;precision40
system6;group6;name6;name41;type41;description41;1;precision41
system6;group6;name6;name42;type42;description42;0;precision42
system6;group6;name6;name43;type43;description43;1;precision43
system6;group6;name6;name44;type44;description44;0;precision44
system6;group6;name6;name45;type45;description45;1;precision45
system6;group6;name6;name46;type46;description46;0;precision46
system6;group6;name6;name47;type47;description47;1;precision47
system6;group6;name6;name48;type48;description48;0;precision48
system6;group6;name6;name49;type49;description49;1;precision49
system7;group7;name7;name0;type0;description0;0;precision0
system7;group7;name7;name1;type1;description1;1;precision1
system7;group7;name7;name2;type2;description2;0;precision2
system7;group7;name7;name3;type3;description3;1;precision3
system7;group7;name7;name4;type4;description4;0;precision4
system7;group7;name7;name5;type5;description5;1;precision5
system7;group7;name7;name6;type6;description6;0;precision6
system7;group7;name7;name7;type7;description7;1;precision7
system7;group7;name7;name8;type8;description8;0;precision8
system7;group7;name7;name9;type9;description9;1;precision9
system7;group7;name7;name10;type10;description10;0;precision10
system7;group7;name7;name11;type11;description11;1;precision11
system7;group7;name7;name12;type12;description12;0;precision12
system7;group7;name7;name13;type13;description13;1;precision13
system7;group7;name7;name14;type14;description14;0;precision14
system7;group7;name7;name15;type15;description15;1;precision15
system7;group7;name7;name16;type16;description16;0;precision16
system7;group7;name7;name17;type17;description17;1;precision17
system7;group7;name7;name18;type18;description18;0;precision18
system7;group7;name7;name19;type19;description19;1;precision19
system7;group7;name7;name20;type20;description20;0;precision20
system7;group7;name7;name21;type21;description21;1;precision21
system7;group7;name7;name22;type22;description22;0;precision22
system7;group7;name7;name23;type23;description23;1;precision23
system7;group7;name7;name24;type24;description24;0;precision24
system7;group7;name7;name25;type25;description25;1;precision25
system7;group7;name7;name26;type26;description26;0;precision26
system7;group7;name7;name27;type27;description27;1;precision27
system7;group7;name7;name28;type28;description28;0;precision28
system7;group7;name7;name29;type29;description29;1;precision29
system7;group7;name7;name30;type30;description30;0;precision30
system7;group7;name7;name31;type31;description31;1;precision31
system7;group7;name7;name32;type32;description32;0;precision32
system7;group7;name7;name33;type33;description33;1;precision33
system7;group7;name7;name34;type34;description34;0;precision34
system7;group7;name7;name35;type35;description35;1;precision35
system7;group7;name7;name36;type36;description36;0;precision36
system7;group7;name7;name37;type37;description37;1;precision37
system7;group7;name7;name38;type38;description38;0;precision38
system7;group7;name7;name39;type39;description39;1;precision39
system7;group7;name7;name40;type40;description40;0;precision40
system7;group7;name7;name41;type41;description41;1;precision41
system7;group7;name7;name42;type42;description42;0;precision42
system7;group7;name7;name43;type43;description43;1;precision43
system7;group7;name7;name44;type44;description44;0;precision44
system7;group7;name7;name45;type45;description45;1;precision45
system7;group7;name7;name46;type46;description46;0;precision46
system7;group7;name7;name47;type47;description47;1;precision47
system7;group7;name7;name48;type48;description48;0;precision48
system7;group7;name7;name49;type49;description49;1;precision49
system8;group8;name8;name0;type0;description0;0;precision0
system8;group8;name8;name1;type1;description1;1;precision1
system8;group8;name8;name2;type2;description2;0;precision2
system8;group8;name8;name3;type3;description3;1;precision3
system8;group8;name8;name4;type4;description4;0;precision4
system8;group8;name8;name5;type5;description5;1;precision5
system8;group8;name8;name6;type6;description6;0;precision6
system8;group8;name8;name7;type7;description7;1;precision7
system8;group8;name8;name8;type8;description8;0;precision8
system8;group8;name8;name9;type9;description9;1;precision9
system8;group8;name8;name10;type10;description10;0;precision10
system8;group8;name8;name11;type11;description11;1;precision11
system8;group8;name8;name12;type12;description12;0;precision12
system8;group8;name8;name13;type13;description13;1;precision13
system8;group8;name8;name14;type14;description14;0;precision14
system8;group8;name8;name15;type15;description15;1;precision15
system8;group8;name8;name16;type16;description16;0;precision16
system8;group8;name8;name17;type17;description17;1;precision17
system8;group8;name8;name18;type18;description18;0;precision18
system8;group8;name8;name19;type19;description19;1;precision19
system8;group8;name8;name20;type20;description20;0;precision20
system8;group8;name8;name21;type21;description21;1;precision21
system8;group8;name8;name22;type22;description22;0;precision22
system8;group8;name8;name23;type23;description23;1;precision23
system8;group8;name8;name24;type24;description24;0;precision24
system8;group8;name8;name25;type25;description25;1;precision25
system8;group8;name8;name26;type26;description26;0;precision26
system8;group8;name8;name27;type27;description27;1;precision27
system8;group8;name8;name28;type28;description28;0;precision28
system8;group8;name8;name29;type29;description29;1;precision29
system8;group8;name8;name30;type30;description30;0;precision30
system8;group8;name8;name31;type31;description31;1;precision31
system8;group8;name8;name32;type32;description32;0;precision32
system8;group8;name8;name33;type33;description33;1;precision33
system8;group8;name8;name34;type34;description34;0;precision34
system8;group8;name8;name35;type35;description35;1;precision35
system8;group8;name8;name36;type36;description36;0;precision36
system8;group8;name8;name37;type37;description37;1;precision37
system8;group8;name8;name38;type38;description38;0;precision38
system8;group8;name8;name39;type39;description39;1;precision39
system8;group8;name8;name40;type40;description40;0;precision40
system8;group8;name8;name41;type41;description41;1;precision41
system8;group8;name8;name42;type42;description42;0;precision42
system8;group8;name8;name43;type43;description43;1;precision43
system8;group8;name8;name44;type44;description44;0;precision44
system8;group8;name8;name45;type45;description45;1;precision45
system8;group8;name8;name46;type46;description46;0;precision46
system8;group8;name8;name47;type47;description47;1;precision47
system8;group8;name8;name48;type48;description48;0;precision48
system8;group8;name8;name49;type49;description49;1;precision49
system9;group9;name9;name0;type0;description0;0;precision0
system9;group9;name9;name1;type1;description1;1;precision1
system9;group9;name9;name2;type2;description2;0;precision2
system9;group9;name9;name3;type3;description3;1;precision3
system9;group9;name9;name4;type4;description4;0;precision4
system9;group9;name9;name5;type5;description5;1;precision5
system9;group9;name9;name6;type6;description6;0;precision6
system9;group9;name9;name7;type7;description7;1;precision7
system9;group9;name9;name8;type8;description8;0;precision8
system9;group9;name9;name9;type9;description9;1;precision9
system9;group9;name9;name10;type10;description10;0;precision10
system9;group9;name9;name11;type11;description11;1;precision11
system9;group9;name9;name12;type12;description12;0;precision12
system9;group9;name9;name13;type13;description13;1;precision13
system9;group9;name9;name14;type14;description14;0;precision14
system9;group9;name9;name15;type15;description15;1;precision15
system9;group9;name9;name16;type16;description16;0;precision16
system9;group9;name9;name17;type17;description17;1;precision17
system9;group9;name9;name18;type18;description18;0;precision18
system9;group9;name9;name19;type19;description19;1;precision19
system9;group9;name9;name20;type20;description20;0;precision20
system9;group9;name9;name21;type21;description21;1;precision21
system9;group9;name9;name22;type22;description22;0;precision22
system9;group9;name9;name23;type23;description23;1;precision23
system9;group9;name9;name24;type24;description24;0;precision24
system9;group9;name9;name25;type25;description25;1;precision25
system9;group9;name9;name26;type26;description26;0;precision26
system9;group9;name9;name27;type27;description27;1;precision27
system9;group9;name9;name28;type28;description28;0;precision28
system9;group9;name9;name29;type29;description29;1;precision29
system9;group9;name9;name30;type30;description30;0;precision30
system9;group9;name9;name31;type31;description31;1;precision31
system9;group9;name9;name32;type32;description32;0;precision32
system9;group9;name9;name33;type33;description33;1;precision33
system9;group9;name9;name34;type34;description34;0;precision34
system9;group9;name9;name35;type35;description35;1;precision35
system9;group9;name9;name36;type36;description36;0;precision36
system9;group9;name9;name37;type37;description37;1;precision37
system9;group9;name9;name38;type38;description38;0;precision38
system9;group9;name9;name39;type39;description39;1;precision39
system9;group9;name9;name40;type40;description40;0;precision40
system9;group9;name9;name41;type41;description41;1;precision41
system9;group9;name9;name42;type42;description42;0;precision42
system9;group9;name9;name43;type43;description43;1;precision43
system9;group9;name9;name44;type44;description44;0;precision44
system9;group9;name9;name45;type45;description45;1;precision45
system9;group9;name9;name46;type46;description46;0;precision46
system9;group9;name9;name47;type47;description47;1;precision47
system9;group9;name9;name48;type48;description48;0;precision48
system9;group9;name9;name49;type49;description49;1;precision49
system10;group10;name10;name0;type0;description0;0;precision0
system10;group10;name10;name1;type1;description1;1;precision1
system10;group10;name10;name2;type2;description2;0;precision2
system10;group10;name10;name3;type3;description3;1;precision3
system10;group10;name10;name4;type4;description4;0;precision4
system10;group10;name10;name5;type5;description5;1;precision5
system10;group10;name10;name6;type6;description6;0;precision6
system10;group10;name10;name7;type7;description7;1;precision7
system10;group10;name10;name8;type8;description8;0;precision8
system10;group10;name10;name9;type9;description9;1;precision9
system10;group10;name10;name10;type10;description10;0;precision10
system10;group10;name10;name11;type11;description11;1;precision11
system10;group10;name10;name12;type12;description12;0;precision12
system10;group10;name10;name13;type13;description13;1;precision13
system10;group10;name10;name14;type14;description14;0;precision14
system10;group10;name10;name15;type15;description15;1;precision15
system10;group10;name10;name16;type16;description16;0;precision16
system10;group10;name10;name17;type17;description17;1;precision17
system10;group10;name10;name18;type18;description18;0;precision18
system10;group10;name10;name19;type19;description19;1;precision19
system10;group10;name10;name20;type20;description20;0;precision20
system10;group10;name10;name21;type21;description21;1;precision21
system10;group10;name10;name22;type22;description22;0;precision22
system10;group10;name10;name23;type23;description23;1;precision23
system10;group10;name10;name24;type24;description24;0;precision24
system10;group10;name10;name25;type25;description25;1;precision25
system10;group10;name10;name26;type26;description26;0;precision26
system10;group10;name10;name27;type27;description27;1;precision27
system10;group10;name10;name28;type28;description28;0;precision28
system10;group10;name10;name29;type29;description29;1;precision29
system10;group10;name10;name30;type30;description30;0;precision30
system10;group10;name10;name31;type31;description31;1;precision31
system10;group10;name10;name32;type32;description32;0;precision32
system10;group10;name10;name33;type33;description33;1;precision33
system10;group10;name10;name34;type34;description34;0;precision34
system10;group10;name10;name35;type35;description35;1;precision35
system10;group10;name10;name36;type36;description36;0;precision36
system10;group10;name10;name37;type37;description37;1;precision37
system10;group10;name10;name38;type38;description38;0;precision38
system10;group10;name10;name39;type39;description39;1;precision39
system10;group10;name10;name40;type40;description40;0;precision40
system10;group10;name10;name41;type41;description41;1;precision41
system10;group10;name10;name42;type42;description42;0;precision42
system10;group10;name10;name43;type43;description43;1;precision43
system10;group10;name10;name44;type44;description44;0;precision44
system10;group10;name10;name45;type45;description45;1;precision45
system10;group10;name10;name46;type46;description46;0;precision46
system10;group10;name10;name47;type47;description47;1;precision47
system10;group10;name10;name48;type48;description48;0;precision48
system10;group10;name10;name49;type49;description49;1;precision49
system11;group11;name11;name0;type0;description0;0;precision0
system11;group11;name11;name1;type1;description1;1;precision1
system11;group11;name11;name2;type2;description2;0;precision2
system11;group11;name11;name3;type3;description3;1;precision3
system11;group11;name11;name4;type4;description4;0;precision4
system11;group11;name11;name5;type5;description5;1;precision5
system11;group11;name11;name6;type6;description6;0;precision6
system11;group11;name11;name7;type7;description7;1;precision7
system11;group11;name11;name8;type8;description8;0;precision8
system11;group11;name11;name9;type9;description9;1;precision9
system11;group11;name11;name10;type10;description10;0;precision10
system11;group11;name11;name11;type11;description11;1;precision11
system11;group11;name11;name12;type12;description12;0;precision12
system11;group11;name11;name13;type13;description13;1;precision13
system11;group11;name11;name14;type14;description14;0;precision14
system11;group11;name11;name15;type15;description15;1;precision15
system11;group11;name11;name16;type16;description16;0;precision16
system11;group11;name11;name17;type17;description17;1;precision17
system11;group11;name11;name18;type18;description18;0;precision18
system11;group11;name11;name19;type19;description19;1;precision19
system11;group11;name11;name20;type20;description20;0;precision20
system11;group11;name11;name21;type21;description21;1;precision21
system11;group11;name11;name22;type22;description22;0;precision22
system11;group11;name11;name23;type23;description23;1;precision23
system11;group11;name11;name24;type24;description24;0;precision24
system11;group11;name11;name25;type25;description25;1;precision25
system11;group11;name11;name26;type26;description26;0;precision26
system11;group11;name11;name27;type27;description27;1;precision27
system11;group11;name11;name28;type28;description28;0;precision28
system11;group11;name11;name29;type29;description29;1;precision29
system11;group11;name11;name30;type30;description30;0;precision30
