system0,group0,name0,description0
system766,group766,name766,description766
system767,group767,name767,description767
system768,group768,name768,description768
system769,group769,name769,description769
system770,group770,name770,description770
system771,group771,name771,description771
system772,group772,name772,description772
system773,group773,name773,description773
system774,group774,name774,description774
system775,group775,name775,description775
system776,group776,name776,description776
system777,group777,name777,description777
system778,group778,name778,description778
system779,group779,name779,description779
system780,group780,name780,description780
system781,group781,name781,description781
system782,group782,name782,description782
system783,group783,name783,description783
system784,group784,name784,description784
system785,group785,name785,description785
system786,group786,name786,description786
system787,group787,name787,description787
system788,group788,name788,description788
system789,group789,name789,description789
system790,group790,name790,description790
system791,group791,name791,description791
system792,group792,name792,description792
system793,group793,name793,description793
system794,group794,name794,description794
system795,group795,name795,description795
system796,group796,name796,description796
system797,group797,name797,description797
system798,group798,name798,description798
system799,group799,name799,description799
system800,group800,name800,description800
system801,group801,name801,description801
system802,group802,name802,description802
system803,group803,name803,description803
system804,group804,name804,description804
system805,group805,name805,description805
system806,group806,name806,description806
system807,group807,name807,description807
system808,group808,name808,description808
system809,group809,name809,description809
system810,group810,name810,description810
system811,group811,name811,description811
system812,group812,name812,description812
system813,group813,name813,description813
system814,group814,name814,description814
system815,group815,name815,description815
system816,group816,name816,description816
system817,group817,name817,description817
system818,group818,name818,description818
system819,group819,name819,description819
system820,group820,name820,description820
system821,group821,name821,description821
system822,group822,name822,description822
system823,group823,name823,description823
system824,group824,name824,description824
system825,group825,name825,description825
system826,group826,name826,description826
system827,group827,name827,description827
system828,group828,name828,description828
system829,group829,name829,description829
system830,group830,name830,description830
system831,group831,name831,description831
system832,group832,name832,description832
system833,group833,name833,description833
system834,group834,name834,description834
system835,group835,name835,description835
system836,group836,name836,description836
system837,group837,name837,description837
system838,group838,name838,description838
system839,group839,name839,description839
system840,group840,name840,description840
system841,group841,name841,description841
system842,group842,name842,description842
system843,group843,name843,description843
system844,group844,name844,description844
system845,group845,name845,description845
system846,group846,name846,description846
system847,group847,name847,description847
system848,group848,name848,description848
system849,group849,name849,description849
system850,group850,name850,description850
system851,group851,name851,description851
system852,group852,name852,description852
system853,group853,name853,description853
system854,group854,name854,description854
system855,group855,name855,description855
system856,group856,name856,description856
system857,group857,name857,description857
system858,group858,name858,description858
system859,group859,name859,description859
system860,group860,name860,description860
system861,group861,name861,description861
system862,group862,name862,description862
system863,group863,name863,description863
system864,group864,name864,description864
system865,group865,name865,description865
system866,group866,name866,description866
system867,group867,name867,description867
system868,group868,name868,description868
system869,group869,name869,description869
system870,group870,name870,description870
system871,group871,name871,description871
system872,group872,name872,description872
system873,group873,name873,description873
system874,group874,name874,description874
system875,group875,name875,description875
system876,group876,name876,description876
system877,group877,name877,description877
system878,group878,name878,description878
system879,group879,name879,description879
system880,group880,name880,description880
system881,group881,name881,description881
system882,group882,name882,description882
system883,group883,name883,description883
system884,group884,name884,description884
system885,group885,name885,description885
system886,group886,name886,description886
system887,group887,name887,description887
system888,group888,name888,description888
system889,group889,name889,description889
system890,group890,name890,description890
system891,group891,name891,description891
system892,group892,name892,description892
system893,group893,name893,description893
system894,group894,name894,description894
system895,group895,name895,description895
system896,group896,name896,description896
system897,group897,name897,description897
system898,group898,name898,description898
system899,group899,name899,description899
system900,group900,name900,description900
system901,group901,name901,description901
system902,group902,name902,description902
system903,group903,name903,description903
system904,group904,name904,description904
system905,group905,name905,description905
system906,group906,name906,description906
system907,group907,name907,description907
system908,group908,name908,description908
system909,group909,name909,description909
system910,group910,name910,description910
system911,group911,name911,description911
system912,group912,name912,description912
system913,group913,name913,description913
system914,group914,name914,description914
system915,group915,name915,description915
system916,group916,name916,description916
system917,group917,name917,description917
system918,group918,name918,description918
system919,group919,name919,description919
system920,group920,name920,description920
system921,group921,name921,description921
system922,group922,name922,description922
system923,group923,name923,description923
system924,group924,name924,description924
system925,group925,name925,description925
system926,group926,name926,description926
system927,group927,name927,description927
system928,group928,name928,description928
system929,group929,name929,description929
system930,group930,name930,description930
system931,group931,name931,description931
system932,group932,name932,description932
system933,group933,name933,description933
system934,group934,name934,description934
system935,group935,name935,description935
system936,group936,name936,description936
system937,group937,name937,description937
system938,group938,name938,description938
system939,group939,name939,description939
system940,group940,name940,description940
system941,group941,name941,description941
system942,group942,name942,description942
system943,group943,name943,description943
system944,group944,name944,description944
system945,group945,name945,description945
system946,group946,name946,description946
system947,group947,name947,description947
system948,group948,name948,description948
system949,group949,name949,description949
system950,group950,name950,description950
system951,group951,name951,description951
system952,group952,name952,description952
system953,group953,name953,description953
system954,group954,name954,description954
system955,group955,name955,description955
system956,group956,name956,description956
system957,group957,name957,description957
system958,group958,name958,description958
system959,group959,name959,description959
system960,group960,name960,description960
system961,group961,name961,description961
system962,group962,name962,description962
system963,group963,name963,description963
system964,group964,name964,description964
system965,group965,name965,description965
system966,group966,name966,description966
system967,group967,name967,description967
system968,group968,name968,description968
system969,group969,name969,description969
system970,group970,name970,description970
system971,group971,name971,description971
system972,group972,name972,description972
system973,group973,name973,description973
system974,group974,name974,description974
system975,group975,name975,description975
system976,group976,name976,description976
system977,group977,name977,description977
system978,group978,name978,description978
system979,group979,name979,description979
system980,group980,name980,description980
system981,group981,name981,description981
system982,group982,name982,description982
system983,group983,name983,description983
system984,group984,name984,description984
system985,group985,name985,description985
system986,group986,name986,description986
system987,group987,name987,description987
system988,group988,name988,description988
system989,group989,name989,description989
system990,group990,name990,description990
system991,group991,name991,description991
system992,group992,name992,description992
system993,group993,name993,description993
system994,group994,name994,description994
system995,group995,name995,description995
system996,group996,name996,description996
system997,group997,name997,description997
system998,group998,name998,description998
system999,group999,name999,description999
